,City,Country,Date,Latitude,Longitude,Temperature,Cloudiness,Humidity,Max Temp.,Wind Speed
0,mataura,NZ,1547524317,-46.19,168.86,67.21,0,66,67.21,8.08
1,hithadhoo,MV,1547524582,-0.6,73.08,82.33,88,100,82.33,4.16
2,ponta do sol,BR,1547524856,-20.63,-46.0,69.37,56,80,69.37,4.27
3,kodiak,US,1547523600,39.95,-94.76,30.11,90,100,32.0,8.05
4,naze,NG,1547525146,5.43,7.07,73.87,0,92,73.87,5.73
5,coquimbo,CL,1547521200,-29.95,-71.34,60.8,0,82,60.8,6.93
6,albany,US,1547521080,42.65,-73.75,17.4,40,64,19.4,2.93
7,ushuaia,AR,1547521200,-54.81,-68.31,51.8,40,81,51.8,4.7
8,longyearbyen,NO,1547520600,78.22,15.63,3.2,20,71,3.2,3.36
9,kholmogory,RU,1547523000,64.23,41.65,19.4,90,100,19.4,6.71
10,jamestown,AU,1547524107,-33.21,138.6,98.53,36,41,98.53,6.62
11,mount isa,AU,1547523000,-20.73,139.49,98.6,40,27,98.6,5.82
12,hilo,US,1547520780,19.71,-155.08,75.92,90,66,75.92,5.82
13,mar del plata,AR,1547524896,-46.43,-67.52,70.63,32,26,70.63,16.02
14,kwekwe,ZW,1547525148,-18.93,29.81,62.26,56,98,62.26,3.04
15,saint-philippe,CA,1547523300,45.36,-73.48,12.51,1,89,17.6,8.19
16,padang,ID,1547525148,-0.92,100.36,76.66,92,100,76.66,3.04
17,cherskiy,RU,1547525107,68.75,161.3,-29.54,24,49,-29.54,4.94
18,tateyama,JP,1547521440,36.66,137.31,53.6,75,40,53.6,20.8
19,yellowknife,CA,1547521200,62.45,-114.38,-18.41,75,68,-18.41,9.17
20,emilio carranza,MX,1547525150,19.97,-96.61,64.33,44,95,64.33,6.4
21,rikitea,PF,1547524279,-23.12,-134.97,80.62,92,97,80.62,10.76
22,lebu,ET,1547521200,8.96,38.73,50.0,0,43,50.0,5.82
23,norman wells,CA,1547521200,65.28,-126.83,-11.21,40,69,-11.21,6.93
24,greensburg,US,1547524380,30.83,-90.67,41.36,90,70,42.08,6.93
25,puro,PH,1547525151,13.13,123.76,80.17,80,81,80.17,8.97
26,dibuluan,PH,1547525151,16.52,121.76,70.99,88,100,70.99,4.38
27,vaini,IN,1547521200,15.34,74.49,68.92,0,45,69.8,5.82
28,nantucket,US,1547523300,41.28,-70.1,24.85,40,68,28.94,11.41
29,butaritari,KI,1547525151,3.07,172.79,83.41,80,100,83.41,14.23
30,nastola,FI,1547524200,60.95,25.93,23.0,90,92,23.0,5.82
31,chenzhou,CN,1547525152,25.81,113.03,41.92,92,100,41.92,6.73
32,nikolskoye,RU,1547523000,59.7,30.79,28.4,90,92,28.4,8.95
33,punta arenas,CL,1547521200,-53.16,-70.91,51.8,75,76,51.8,4.7
34,port alfred,ZA,1547525121,-33.59,26.89,66.49,0,98,66.49,4.38
35,cape town,ZA,1547521200,-33.93,18.42,59.0,0,82,59.0,3.36
36,belyy yar,RU,1547523000,53.6,91.39,-13.01,20,75,-13.01,4.47
37,cockburn town,TC,1547525152,21.46,-71.14,78.46,44,100,78.46,9.86
38,gouyave,GD,1547521200,12.16,-61.73,75.2,20,83,75.2,3.36
39,castro,CL,1547521200,-42.48,-73.76,50.0,20,87,50.0,5.82
40,mehamn,NO,1547525153,71.03,27.85,18.16,44,74,18.16,5.5
41,pimentel,BR,1547525153,-3.7,-45.5,71.44,76,100,71.44,1.81
42,kapaa,US,1547520960,22.08,-159.32,77.2,1,66,78.98,10.29
43,narsaq,GL,1547520600,60.91,-46.05,28.4,80,74,28.4,1.12
44,san policarpo,PH,1547524599,12.18,125.51,80.53,64,89,80.53,15.57
45,lorengau,PG,1547525115,-2.02,147.27,84.49,56,96,84.49,11.88
46,hermanus,ZA,1547524390,-34.42,19.24,48.76,24,95,48.76,2.15
47,ozinki,RU,1547525154,51.2,49.73,20.5,92,90,20.5,12.1
48,bluff,AU,1547524442,-23.58,149.07,93.13,0,40,93.13,11.43
49,salalah,OM,1547520600,17.01,54.1,71.6,20,73,71.6,5.82
50,mecca,SA,1547524816,21.43,39.83,58.03,12,89,58.03,3.04
51,labuhan,ID,1547525101,-2.54,115.51,84.04,64,77,84.04,2.59
52,nizhniy kuranakh,RU,1547525155,58.84,125.49,-20.36,12,56,-20.36,3.49
53,barrow,AR,1547524407,-38.31,-60.23,69.46,88,75,69.46,7.4
54,ribeira grande,PT,1547524396,38.52,-28.7,61.54,88,98,61.54,5.39
55,hualmay,PE,1547525155,-11.1,-77.61,66.49,48,99,66.49,5.06
56,saldanha,PT,1547524561,41.42,-6.55,25.09,56,90,25.09,3.38
57,goumenissa,GR,1547524200,40.95,22.45,42.8,20,41,42.8,19.46
58,husavik,CA,1547524992,50.56,-96.99,10.33,88,86,10.33,9.75
59,yuncheng,CN,1547525155,35.03,111.0,25.63,68,43,25.63,7.4
60,kaitangata,NZ,1547525097,-46.28,169.85,63.52,20,86,63.52,5.61
61,makakilo city,US,1547521020,21.35,-158.09,77.23,1,54,80.06,6.93
62,fortuna,ES,1547523000,38.18,-1.13,41.9,0,70,42.8,3.36
63,slave lake,CA,1547521200,55.28,-114.77,24.8,1,92,24.8,13.87
64,lokosovo,RU,1547525157,61.13,74.84,20.14,80,91,20.14,10.09
65,jalu,LY,1547525157,29.03,21.55,44.26,0,54,44.26,13.11
66,airai,TL,1547525157,-8.93,125.41,79.63,24,90,79.63,1.25
67,rawson,AR,1547525105,-43.3,-65.11,67.66,0,35,67.66,6.06
68,busselton,AU,1547524906,-33.64,115.35,70.9,0,89,70.9,13.0
69,sosnogorsk,RU,1547525158,63.59,53.93,15.91,76,82,15.91,6.4
70,srednekolymsk,RU,1547525123,67.46,153.71,-23.51,56,70,-23.51,3.94
71,linjiang,CN,1547525158,41.81,126.91,6.1,56,67,6.1,7.52
72,lamont,CA,1547521200,53.76,-112.78,32.0,1,86,32.0,8.05
73,aljezur,PT,1547524916,37.31,-8.8,48.76,0,100,48.76,6.17
74,onalaska,US,1547524500,43.88,-91.23,27.93,90,96,32.0,4.7
75,nanortalik,GL,1547525159,60.14,-45.24,29.14,92,97,29.14,12.55
76,bandarbeyla,SO,1547525159,9.49,50.81,75.67,76,100,75.67,15.35
77,bud,NO,1547522400,62.91,6.91,30.78,92,100,32.0,10.29
78,les cayes,HT,1547525160,18.19,-73.75,75.76,68,100,75.76,2.93
79,camacha,PT,1547523000,33.08,-16.33,59.25,20,71,60.8,4.7
80,chuy,UY,1547524867,-33.69,-53.46,70.9,92,98,70.9,7.74
81,lompoc,US,1547523300,34.64,-120.46,51.82,75,87,55.94,3.36
82,deputatskiy,RU,1547525160,69.3,139.9,-35.21,48,63,-35.21,2.48
83,el alto,BO,1547521200,-16.5,-68.19,42.8,75,87,42.8,6.93
84,trelew,AR,1547525161,-43.25,-65.31,67.66,0,35,67.66,6.06
85,aksarayskiy,RU,1547523000,46.79,48.01,32.0,90,96,32.0,15.66
86,souillac,FR,1547523000,45.6,-0.6,38.41,90,93,39.2,2.24
87,new norfolk,AU,1547523000,-42.78,147.06,77.0,0,44,77.0,19.46
88,port elizabeth,US,1547520960,39.31,-74.98,24.67,1,68,28.04,4.7
89,saint-francois,FR,1547523000,46.42,3.91,35.6,0,100,35.6,3.27
90,colombo,LK,1547521800,6.93,79.85,78.8,40,74,78.8,11.41
91,cidreira,BR,1547524734,-30.17,-50.22,75.94,32,95,75.94,2.59
92,zruc nad sazavou,CZ,1547524080,49.74,15.11,30.83,90,92,32.0,13.87
93,smithers,CA,1547523720,54.78,-127.17,28.4,90,100,28.4,3.36
94,poum,MK,1547525165,41.28,20.71,18.52,8,82,18.52,3.27
95,kavaratti,IN,1547525165,10.57,72.64,82.24,0,100,82.24,11.43
96,hobart,AU,1547521200,-42.88,147.33,77.0,0,41,77.0,17.22
97,trairi,BR,1547525166,-3.28,-39.27,79.81,36,100,79.81,5.17
98,peniche,PT,1547523000,39.36,-9.38,43.99,0,93,48.2,6.93
99,qaqortoq,GL,1547520600,60.72,-46.03,28.4,88,74,28.4,1.12
100,cabo san lucas,MX,1547520720,22.89,-109.91,65.21,90,77,66.2,9.42
101,kloulklubed,PW,1547524200,7.04,134.26,84.2,75,66,84.2,10.29
102,kahului,US,1547521740,20.89,-156.47,75.79,40,60,78.98,5.82
103,broken hill,AU,1547521200,-31.97,141.45,111.2,0,8,111.2,19.46
104,sinjar,SY,1547525167,35.59,37.0,43.81,80,93,43.81,11.43
105,atuona,PF,1547524370,-9.8,-139.03,81.25,68,100,81.25,15.68
106,viedma,AR,1547525167,-40.81,-62.99,72.88,0,46,72.88,15.57
107,bethel,US,1547520960,60.79,-161.76,38.17,90,69,39.92,17.22
108,los llanos de aridane,ES,1547523000,28.66,-17.92,62.6,0,63,62.6,11.41
109,constitucion,MX,1547520480,23.99,-104.67,60.8,90,41,60.8,9.17
110,corrente,BR,1547525169,-17.45,-44.68,72.97,0,63,72.97,6.17
111,pedernales,EC,1547525169,0.07,-80.05,71.17,92,99,71.17,2.93
112,erzin,TR,1547524200,36.95,36.2,43.7,75,100,44.6,21.92
113,guiyang,CN,1547521200,26.58,106.71,41.0,90,80,41.0,6.71
114,kachug,RU,1547525170,53.96,105.89,-6.5,48,68,-6.5,2.15
115,torbay,CA,1547521200,47.66,-52.73,24.8,90,79,24.8,8.05
116,bredasdorp,ZA,1547521200,-34.53,20.04,62.6,88,77,62.6,3.36
117,suntar,RU,1547525170,62.16,117.65,-38.0,0,77,-38.0,3.15
118,pidhaytsi,UA,1547523000,49.27,25.13,24.8,0,68,24.8,6.71
119,san juan,PH,1547521200,14.6,121.03,87.8,40,48,87.8,18.34
120,ozernovskiy,RU,1547525172,51.5,156.52,22.12,20,95,22.12,6.29
121,nome,US,1547524500,30.04,-94.42,41.47,1,81,44.06,3.36
122,yulara,AU,1547521200,-25.24,130.99,109.4,0,8,109.4,11.41
123,guerrero negro,MX,1547525148,27.97,-114.04,58.75,0,96,58.75,5.73
124,severo-kurilsk,RU,1547525173,50.68,156.12,28.33,68,100,28.33,10.42
125,petrinja,HR,1547523000,45.44,16.28,26.6,0,79,26.6,1.12
126,gandajika,CD,1547525173,-6.75,23.95,68.11,92,100,68.11,4.38
127,esterhazy,CA,1547525173,50.65,-102.08,21.31,20,90,21.31,12.33
128,te horo,NZ,1547523000,-40.81,175.12,59.0,56,82,59.0,28.86
129,yar-sale,RU,1547525173,66.83,70.83,5.83,48,90,5.83,8.97
130,linxia,CN,1547525174,35.6,103.21,11.95,88,70,11.95,2.37
131,flinders,AU,1547521200,-34.58,150.85,87.8,0,58,87.8,11.41
132,arvin,US,1547524440,35.21,-118.83,43.61,1,54,53.06,8.05
133,ichnya,UA,1547525174,50.86,32.39,23.74,36,87,23.74,15.01
134,bakchar,RU,1547525174,57.02,82.07,16.99,76,80,16.99,8.08
135,farim,GW,1547521200,12.48,-15.22,62.6,0,82,62.6,4.27
136,teguldet,RU,1547525058,57.31,88.17,5.74,0,74,5.74,4.38
137,coihaique,CL,1547521200,-45.58,-72.07,55.4,0,43,55.4,2.24
138,hella,IS,1547525175,63.84,-20.4,36.79,36,100,36.79,11.88
139,qaanaaq,GL,1547524260,77.48,-69.36,-28.1,0,100,-28.1,9.19
140,iqaluit,CA,1547524140,63.75,-68.52,-2.21,90,77,-2.21,8.05
141,pevek,RU,1547525095,69.7,170.27,-13.43,56,100,-13.43,15.68
142,tuktoyaktuk,CA,1547521200,69.44,-133.03,-14.81,5,75,-14.81,9.17
143,manta,RO,1547525176,45.1,24.1,10.15,0,51,10.15,6.73
144,klaksvik,FO,1547522400,62.23,-6.59,41.0,48,75,41.0,27.51
145,evensk,RU,1547524933,61.92,159.24,-6.23,64,100,-6.23,6.62
146,sao joao da barra,BR,1547524942,-21.64,-41.05,79.72,0,95,79.72,17.69
147,thompson,CA,1547523420,55.74,-97.86,-7.61,90,76,-7.61,5.82
148,ziro,IN,1547521200,27.54,93.82,59.0,20,87,59.0,3.36
149,mackay,CA,1547522940,53.65,-115.58,26.64,1,100,32.0,3.36
150,fergus falls,US,1547523360,46.28,-96.08,21.52,90,100,22.82,2.82
151,saskylakh,RU,1547525177,71.97,114.09,-56.18,0,0,-56.18,6.17
152,pangnirtung,CA,1547525178,66.15,-65.72,-15.14,64,66,-15.14,4.38
153,dikson,RU,1547525133,73.51,80.55,10.24,76,100,10.24,18.81
154,puqi,CN,1547525178,29.72,113.88,45.43,56,100,45.43,13.22
155,russellville,US,1547522100,35.28,-93.13,40.08,90,75,41.0,5.82
156,san patricio,PY,1547524912,-26.98,-56.83,80.17,0,79,80.17,4.83
157,fort nelson,CA,1547524794,58.81,-122.69,-10.91,0,71,-10.91,2.59
158,kavieng,PG,1547525178,-2.57,150.8,81.79,68,100,81.79,6.96
159,dunedin,NZ,1547525179,-45.87,170.5,60.37,80,86,60.37,3.94
160,kosh-agach,RU,1547525179,49.99,88.66,-25.67,0,30,-25.67,2.59
161,tchollire,CM,1547525179,8.4,14.17,57.67,12,69,57.67,2.71
162,bilibino,RU,1547525179,68.06,166.44,-46.28,24,0,-46.28,2.26
163,zyryanka,RU,1547525179,65.73,150.89,-22.97,64,34,-22.97,3.38
164,twin falls,US,1547524380,42.57,-114.46,25.14,1,77,28.04,8.05
165,lai,CN,1547525180,27.82,91.75,26.17,0,39,26.17,1.14
166,gravdal,NO,1547522400,59.79,5.78,32.0,88,100,32.0,10.29
167,carnarvon,ZA,1547524943,-30.97,22.13,52.63,0,49,52.63,6.85
168,kutum,SD,1547525180,14.2,24.66,47.86,8,78,47.86,5.17
169,weiser,US,1547520780,44.25,-116.97,26.96,1,81,26.96,3.36
170,sao filipe,CV,1547525181,14.9,-24.5,71.71,0,99,71.71,14.67
171,dagua,CO,1547521200,3.66,-76.69,71.6,75,78,71.6,5.82
172,port lincoln,AU,1547525181,-34.72,135.86,79.81,76,60,79.81,7.52
173,ust-kuyga,RU,1547525181,70.0,135.55,-44.21,48,0,-44.21,3.6
174,dobson,US,1547524500,36.4,-80.72,33.96,40,93,37.4,4.61
175,kulhudhuffushi,MV,1547525181,6.62,73.07,81.97,80,100,81.97,7.07
176,port blair,IN,1547525182,11.67,92.75,82.24,44,100,82.24,10.76
177,itarema,BR,1547525131,-2.92,-39.92,72.88,20,97,72.88,2.93
178,hongjiang,CN,1547525182,27.21,109.83,38.95,92,100,38.95,7.74
179,mindelo,PT,1547523000,41.31,-8.72,38.08,48,100,39.2,3.36
180,blonie,PL,1547523000,52.2,20.62,30.2,75,86,30.2,13.87
181,ahipara,NZ,1547525183,-35.17,173.16,68.56,88,78,68.56,18.92
182,shahganj,IN,1547523000,26.06,82.68,51.8,0,71,51.8,6.93
183,havre,US,1547520780,48.55,-109.68,17.96,1,67,17.96,3.27
184,tsaratanana,MG,1547525183,-16.8,47.65,71.35,0,78,71.35,11.54
185,pechora,RU,1547525184,65.12,57.16,19.06,76,81,19.06,7.74
186,saint george,GR,1547524200,39.45,22.34,34.88,75,87,39.2,12.75
187,santona,ES,1547523000,43.44,-3.46,48.2,8,100,48.2,3.36
188,arraial do cabo,BR,1547525100,-22.97,-42.02,77.47,8,84,77.47,17.69
189,shieli,KZ,1547525184,44.18,66.74,35.44,92,96,35.44,4.61
190,upernavik,GL,1547524254,72.79,-56.15,-11.63,8,100,-11.63,17.69
191,gondar,PT,1547523000,41.82,-8.78,40.06,0,86,41.0,4.7
192,sobolevo,RU,1547525185,54.43,31.9,26.98,76,91,26.98,14.67
193,olinda,EC,1547521200,-2.03,-79.75,75.2,90,100,75.2,6.93
194,hailar,CN,1547525185,49.2,119.7,-7.04,8,57,-7.04,15.57
195,grindavik,IS,1547523000,63.84,-22.43,36.32,75,74,37.4,18.34
196,pili,PH,1547525186,13.56,123.27,75.58,88,100,75.58,11.43
197,ponta delgada,PT,1547523000,37.73,-25.67,59.0,20,77,59.0,3.36
198,matamoros,US,1547524380,25.87,-97.51,55.58,90,83,62.06,6.93
199,ifanadiana,MG,1547525186,-21.3,47.64,68.83,92,98,68.83,3.6
200,plettenberg bay,ZA,1547525186,-34.05,23.37,64.87,0,100,64.87,6.17
201,kroya,ID,1547525186,-6.5,108.06,84.04,0,84,84.04,3.27
202,karratha,AU,1547525187,-20.74,116.85,97.45,0,38,97.45,9.64
203,kieta,PG,1547525187,-6.22,155.63,86.83,80,80,86.83,1.14
204,jatai,IN,1547525188,28.97,76.18,45.16,24,85,45.16,7.07
205,jiangyou,CN,1547525188,31.78,104.73,43.27,44,53,43.27,8.52
206,serebriya,UA,1547525188,48.46,27.72,21.76,12,83,21.76,11.88
207,ambilobe,MG,1547525188,-13.19,49.05,72.97,44,90,72.97,3.38
208,egvekinot,RU,1547524879,66.32,-179.17,-11.81,80,72,-11.81,3.27
209,bryan,US,1547524500,30.67,-96.37,41.47,75,89,45.5,3.38
210,clyde river,CA,1547521200,70.47,-68.59,-27.41,90,74,-27.41,8.05
211,halol,IN,1547521200,22.51,73.47,57.2,0,67,57.2,6.93
212,anicuns,BR,1547525189,-16.46,-49.96,69.73,0,70,69.73,4.72
213,ulaanbaatar,MN,1547523000,47.92,106.92,-9.41,0,69,-9.41,2.48
214,huarmey,PE,1547525190,-10.07,-78.15,66.04,88,92,66.04,3.6
215,hurup,DK,1547524200,56.75,8.42,39.2,80,86,39.2,13.87
216,khatanga,RU,1547525191,71.98,102.47,-16.76,80,49,-16.76,17.69
217,kigali,RW,1547523000,-1.95,30.06,62.6,40,77,62.6,3.36
218,nguruka,TZ,1547525192,-5.11,31.04,61.99,88,98,61.99,1.36
219,irbeyskoye,RU,1547525193,55.64,95.45,-15.05,0,44,-15.05,2.93
220,east london,ZA,1547521200,-33.02,27.91,66.2,0,88,66.2,2.24
221,yumen,CN,1547525193,40.29,97.04,8.17,20,81,8.17,7.52
222,chokurdakh,RU,1547525194,70.62,147.9,-27.56,56,44,-27.56,3.15
223,petropavlovsk-kamchatskiy,RU,1547523000,53.05,158.65,17.6,20,67,17.6,6.71
224,mitsamiouli,KM,1547521200,-11.38,43.28,77.0,40,88,77.0,4.7
225,udachnyy,RU,1547525194,66.42,112.4,-58.16,0,0,-58.16,2.37
226,buraydah,SA,1547521200,26.33,43.97,55.4,75,47,55.4,6.93
227,yeppoon,AU,1547523000,-23.13,150.74,87.8,20,48,87.8,12.75
228,baykit,RU,1547525195,61.68,96.39,-5.06,64,78,-5.06,2.59
229,saint anthony,US,1547520960,43.97,-111.68,7.34,1,79,8.96,3.36
230,arrah,IN,1547523000,25.56,84.66,57.2,0,54,57.2,2.24
231,hobyo,SO,1547525196,5.35,48.53,75.49,92,84,75.49,16.02
232,talnakh,RU,1547525196,69.49,88.39,7.99,80,80,7.99,20.04
233,rubizhne,UA,1547525196,49.02,38.37,33.55,88,95,33.55,14.0
234,ise,JP,1547523000,34.5,136.72,44.6,75,70,44.6,5.82
235,ola,RU,1547525197,59.58,151.3,-4.88,64,100,-4.88,13.33
236,yabelo,ET,1547525197,4.89,38.09,52.9,0,65,52.9,4.16
237,waipawa,NZ,1547525198,-39.94,176.59,60.19,92,98,60.19,16.24
238,north bend,US,1547520960,43.41,-124.22,44.96,1,76,44.96,6.93
239,khandyga,RU,1547525198,62.65,135.58,-42.68,48,100,-42.68,2.59
240,sarakhs,TM,1547521200,36.54,61.16,44.6,64,81,44.6,2.24
241,nemuro,JP,1547521200,43.32,145.57,28.4,75,68,28.4,12.75
242,lensk,RU,1547525198,60.71,114.91,-14.87,24,65,-14.87,3.38
243,pakdasht,IR,1547523000,35.48,51.68,42.69,75,42,48.2,11.41
244,manavalakurichi,IN,1547523000,8.13,77.3,84.2,20,70,84.2,3.36
245,san luis,AR,1547525200,-33.3,-66.34,60.37,92,87,60.37,3.83
246,kruisfontein,ZA,1547525113,-34.0,24.73,62.17,0,94,62.17,6.73
247,mahebourg,MU,1547521200,-20.41,57.7,80.6,75,78,80.6,10.29
248,rajur,IN,1547525200,15.74,75.93,64.96,0,73,64.96,3.94
249,lucapa,AO,1547525201,-8.42,20.74,66.58,88,97,66.58,4.05
250,newport,GB,1547524200,51.59,-3.0,46.02,90,93,48.2,9.17
251,ostrovnoy,RU,1547525202,68.05,39.51,10.33,56,77,10.33,3.15
252,georgetown,GY,1547521200,6.8,-58.16,73.4,40,94,73.4,4.7
253,krasnovishersk,RU,1547525202,60.4,57.08,14.29,68,88,14.29,10.09
254,maldonado,UY,1547521200,-34.91,-54.96,71.6,90,88,71.6,8.05
255,ancud,CL,1547521200,-41.87,-73.83,50.0,24,87,50.0,5.82
256,marovoay,MG,1547521200,-16.11,46.64,75.2,20,88,75.2,2.24
257,katsuura,JP,1547521200,33.93,134.5,43.61,75,75,44.6,9.17
258,oswego,US,1547524320,37.17,-95.11,32.02,90,88,33.08,5.82
259,sorland,NO,1547525205,67.67,12.69,35.8,88,100,35.8,19.71
260,sol-iletsk,RU,1547525205,51.16,55.0,10.06,32,81,10.06,3.15
261,petatlan,MX,1547520240,17.52,-101.27,80.6,40,78,80.6,3.36
262,victoria,BN,1547523000,5.28,115.24,85.1,75,74,86.0,3.36
263,puerto ayora,EC,1547524977,-0.74,-90.35,76.75,88,100,76.75,5.61
264,kodinsk,RU,1547525205,58.6,99.18,-0.29,64,75,-0.29,4.16
265,ylivieska,FI,1547525205,64.07,24.53,22.93,88,86,22.93,5.95
266,antalaha,MG,1547525207,-14.9,50.28,76.84,92,100,76.84,9.53
267,tiznit,MA,1547525207,29.7,-9.73,48.31,36,74,48.31,3.94
268,ust-ilimsk,RU,1547525207,57.96,102.73,1.42,68,79,1.42,3.15
269,paris,FR,1547523000,48.86,2.35,42.8,90,81,42.8,4.7
270,edd,ER,1547525208,13.93,41.69,52.63,0,82,52.63,2.37
271,shahe,CN,1547525211,36.85,114.5,26.17,36,21,26.17,16.8
